term_id	category	bosnian_forms	alt_forms	alt_variety	n_flores	n_ntrex	n_setimes	n_bosnian_sources	n_alt_in_bosnian_sources	n_alt_in_mixed_bcs	bosnian_share	accept_en
suh	h	suh|suha|suho|suhi|suhe	suv|suva|suvo|suvi|suve	sr	3	0	8	11	6	23	0.6471	dry
uho	h	uho|uha|uhu	uvo|uva|uvu	sr	0	0	5	5	0	1	1.0	ear
sahat	h	sahat|sahata|sahati	sat|sata|sati|satu	sr/hr	0	0	2	2	461	652	0.0043	
kahva	h	kahva|kahve|kahvu|kahvom|kahvana|kahvane	kafa|kafe|kafu|kafom|kava|kave|kavu|kafana|kafane	sr/hr	0	0	0	0	58	40	0.0	
lahko	h	lahko|lahak|lahka|lahke	lako|lako|lagan|lagano	sr/hr	0	0	0	0	485	268	0.0	
mehko	h	mehko|mehak|mehka	meko|mekan|mekano|mekana	sr/hr	0	0	0	0	2	7	0.0	
hudovica	h	hudovica|hudovice	udovica|udovice|udovicu	sr/hr	0	0	0	0	23	46	0.0	
utjecaj	lex	utjecaj|utjecaja|utjecaju|utjecali|utjecalo|utjecati	uticaj|uticaja|uticaju|uticali|uticalo|uticati	sr	11	0	834	845	49	514	0.9452	impact|influence|affect|influenced|negatively
opći	lex	opći|opća|opće|općeg|općem|općih|općenito	opšti|opšta|opšte|opšteg|opštem|opštih|opšte	sr	8	0	433	441	21	83	0.9545	general|generally|elections
fudbal	lex	fudbal|fudbala|fudbalu|fudbalski|fudbalskog|fudbaler|fudbalera|fudbaleri	nogomet|nogometa|nogometu|nogometni|nogometaš|nogometaša	hr	1	2	283	286	6	610	0.9795	football|player|players
saobraćaj	lex	saobraćaj|saobraćaja|saobraćaju|saobraćajni|saobraćajne|saobraćajnih	prometni|prometne|prometnih|prometa	hr	14	3	233	250	7	43	0.9728	traffic|accidents
mahala	turkism	mahala|mahale|mahali|mahalu	kvart|kvarta|naselje|naselja	sr/hr	0	1	13	14	50	546	0.2188	mitrovica|bosnian|waved
komšija	turkism	komšija|komšije|komšiju|komšijama|komšiluk|komšiluku	susjed|susjeda|susjedi|susjedima|susjeda	sr/hr	3	0	5	8	357	130	0.0219	neighbours|rich
